created_at,id_str,full_text,lang,username
Tue Dec 05 13:57:54 +0000 2023,1.73204E+18,@tempodotco Metode menyehatkan ibu hamil dan janinnya adalah dengan memakan belerang yang mengandung asam sulfat - Gibran Petot,in,Putrasibaga
Tue Dec 05 11:28:30 +0000 2023,1.732E+18,@tempodotco Pak anies jenius bukan kaleng2 euyy,in,AhmadFa53536727
Wed Dec 06 02:47:46 +0000 2023,1.73223E+18,@tempodotco fiks golput saja 😂😅,in,areumysi
Tue Dec 05 19:46:45 +0000 2023,1.73212E+18,@tempodotco Selamat 👍Tempo sudah jadi  pro AMIN😁,in,Boy8100105870
Tue Dec 05 15:36:59 +0000 2023,1.73206E+18,@tempodotco Postingan asam sulfat ke 5 https://t.co/1MWz1ZuA9U,in,ngeeeemtot
Tue Dec 05 16:56:15 +0000 2023,1.73208E+18,"@tempodotco Hatidgn Asam Sulfat sdh ada corban pejabat disiram mukanya sampe cidera🤑""",in,pmparmudji
Tue Dec 05 08:30:51 +0000 2023,1.73195E+18,@tempodotco Awokwokwokwok,in,acil_muhyidin
Tue Dec 05 11:25:51 +0000 2023,1.732E+18,@tempodotco Kalo kelebihan bayar itu harus kemana ya? @aniesbaswedan,in,anoss_king
Tue Dec 05 10:25:53 +0000 2023,1.73198E+18,@tempodotco Salah satu dari banyaknya kekonyolan anies. https://t.co/mo47QPVw6K,in,Basleexx
Tue Dec 05 09:43:00 +0000 2023,1.73197E+18,@tempodotco Wkwkwkwk..🤣🤣🤣 https://t.co/lYiPib3T3S,in,HERSETIA99
Tue Dec 05 11:44:09 +0000 2023,1.732E+18,@tempodotco Saking geregetnya naikin elektabilitas Anis sampai turut komentari juga 😂😂,in,TaniAndani
Tue Dec 05 12:17:20 +0000 2023,1.73201E+18,@tempodotco Wkwkwk .. pantesan dari kmrin katanya katanya .. eh ternyata media ini pendukung Anies toh 🤭🤭🤭,in,Brocozzz
Tue Dec 05 08:19:44 +0000 2023,1.73195E+18,@tempodotco Iya https://t.co/VxyJ9xcbxe,und,Netijen_Ind
Tue Dec 05 09:22:06 +0000 2023,1.73197E+18,@tempodotco Caper  pengen viral😀 statement nya kyk buzzer  gak cocok jadi capres 🤭,in,Elmirakid
Tue Dec 05 08:13:05 +0000 2023,1.73195E+18,@tempodotco Wan anus wkwkkwkwk,in,Kevindellano1
Tue Dec 05 14:27:21 +0000 2023,1.73204E+18,@BangPino__ Emang bapak ini paling pinter  sayang wakilnya muhaimin..,in,zegori_
Tue Dec 05 09:21:51 +0000 2023,1.73197E+18,@BangPino__ bantu simplifikasi jawabannya buat yg kurang nangkep: 1. tidak. yg dilawan adalah ketidakadilan  kl oligarki membawa ketidakadilan maka otomatis oligark jd lawan anies 2. dilanjutin krn udh jadi UU  tapi anggarannya akan berkurang 3. tidak  lihat rekam jejak jakarta 4. direvisi,in,whinskyy
Tue Dec 05 08:18:23 +0000 2023,1.73195E+18,"@BangPino__ MANTAP SAVE THIS VIDEO  dan diharapkan ketika misalnya mas anies jadi PRESIDEN dan jawaban ini meleset bisa jadi tameng masyarakat untuk mengkritik mas anies  jangan mentang kita pendukung mas anies dan membenarkan semua kebijakan.""",in,Akbaradii
Tue Dec 05 10:52:42 +0000 2023,1.73199E+18,@BangPino__ Karena nonton video ini  yg awalnya saya dukung prabodo. Maka saya putuskan untuk dukung pak Anies. Ini adalah modal dasar untuk memperbaiki negara,in,yantoFiksi_q
Tue Dec 05 09:25:01 +0000 2023,1.73197E+18,@BangPino__ Ibarat pinsil yg sdg diraut  @aniesbaswedan menyerahkan jiwa raganya utk diserut walau terasa sakit  lelah &amp; jengah dgn bilah yg tajam  namun apa yg dihasilkan sebuah ketajaman akal sehat  ide  gagasan yg nantinya akan menuliskan dgn jelas sejarah perubahan di NKRI yg lbh baik,in,Notoawan
Tue Dec 05 08:15:41 +0000 2023,1.73195E+18,@BangPino__ Sangat memukau jawaban nya   aku suka mahasiswanya dan wabil khusus pak aniesnya❤️❤️❤️,in,Mayormpl44807
Tue Dec 05 08:36:10 +0000 2023,1.73196E+18,@BangPino__ Kebayang kalau teman diskusinya si thole.mmmmmmmm.....pulang dulua ya mau tidur. Mau? Kapal besar indonesia dinahkodai si mmmmmmm?,in,Fatim25330677
Tue Dec 05 07:43:04 +0000 2023,1.73194E+18,@BangPino__ Ga kebayang kalau capres lain di kerumuni dan didesak seperti ini apa ga awokwokwok?,in,Ombahku
Tue Dec 05 09:48:20 +0000 2023,1.73197E+18,@BangPino__ Jawaban IKN masih ngambang lur 🗿,in,wirayudhha
Tue Dec 05 08:41:50 +0000 2023,1.73196E+18,@BangPino__ Kenapa yah rata-rata mahasiswa yg nanya tuh sambil teriak-teriak?,in,restfauz
Wed Dec 06 04:07:49 +0000 2023,1.73225E+18,@BangPino__ Dari hasil pengabdianya kepada negara Hanya pak anis yang berkualitas dalam komunikasi dan aksi... awalnya dukung gemoy dan asam sulfat  lambat laun aksinya kurang berkualitas  jd saya lebih mantap ke pak anis,in,MIlhamFahmyAm1
