created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Dec 05 07:05:12 +0000 2023,1731932718156660000,"Alasan kembali maju pilpres Dalam kesempatan tersebut,  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932718156664929
Tue Dec 05 07:05:12 +0000 2023,1731932717091110000,"Ada momen menarik saat tanya jawab tersebut. Salah satu santri perempuan kelas XI, Minorotul Iktiah, menyebut Gibran 'kiyowo'.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran",0,1,0,0,in,4513069644,1.73193E+18,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932717091115208
Tue Dec 05 07:05:11 +0000 2023,1731932714973220000,"Acara di Ponpes Asshiddiqiyah 2 Tangerang, Banten itu bertajuk 'Gibran Mendengar, Santri Bicara'. Para santri dipersilahkan bertanya langsung ke Gibran.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran",0,1,0,0,in,4513069644,1.73193E+18,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932714973229432
Tue Dec 05 07:05:11 +0000 2023,1731932713412670000,"Tapi kita harus kuat, itu perjuangan yang harus kita lakukan, tutur dia. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932713412673943
Tue Dec 05 07:05:11 +0000 2023,1731932712955740000,Gibran sempat salah tingkah (salting) tersenyum saat dipanggil 'kiyowo' oleh salah satu santri ponpes tersebut.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran,0,1,0,0,in,4513069644,1.73193E+18,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932712955748501
Tue Dec 05 07:05:10 +0000 2023,1731932710849930000,"Cawapres nomor urut 2, Gibran Rakabuming Raka, mengunjungi Pondok Pesantren (Ponpes) Asshiddiqiyah 2 di Tangerang, Banten.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran",0,1,0,0,in,4513069644,1.73193E+18,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932710849933562
Tue Dec 05 07:05:10 +0000 2023,1731932709247910000,"Kita hormat sama Anda, hormat sama Amerika, hormat sama China, hormat sama semua.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932709247918460
Tue Dec 05 07:05:10 +0000 2023,1731932708375590000,Momen Gibran Salting Dipanggil 'Kiyowo' di Ponpes Asshiddiqiyah 2 Tangerang   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran https://t.co/h7CnP4DjIn,0,1,0,0,in,4513069644,1.73193E+18,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932708375597458
Tue Dec 05 07:05:09 +0000 2023,1731932704902450000,"Selain itu, Prabowo menuturkan, Indonesia harus menjadi bangsa kuat yang tetap menghormati negara-negara lain. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932704902455394
Tue Dec 05 07:05:08 +0000 2023,1731932700682940000,Salah satunya dengan menghilangkan kemiskinan di Indonesia.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932700682945010
Tue Dec 05 07:05:07 +0000 2023,1731932696757050000,"Karena itu, dia dan calon wakil presiden (cawapres) Gibran Rakabuming Raka akan membuat terobosan. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932696757059825
Tue Dec 05 07:05:06 +0000 2023,1731932692579510000,"Prabowo menegaskan, dia hanya ingin melihat bangsa Indonesia terhormat.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932692579516685
Tue Dec 05 07:05:05 +0000 2023,1731932688636860000,"Saya akan naik gunung, pensiun, lanjut dia. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932688636862676
Tue Dec 05 07:05:04 +0000 2023,1731932684434500000,"Tapi, kalau saudara tidak memberi mandat kepada saya, saya tidak apa-apa. Saya seorang patriot.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932684434502032
Tue Dec 05 07:05:04 +0000 2023,1731932684413550000,Polri tunjukkan keseriusan dukung KPK berantas korupsi  Kepala Divisi Humas Polri Irjen Pol. Sandi Nugroho menyebutkan kedatangan Kapolri Jenderal Pol. Listyo Sigit Prabowo di Gedung Merah Putih KPK Senin (4/12/2023).  #Kapolri #Kadivhumaspolri #KPK #PolriDukungKPK https://t.co/8MAOeCEY6A,0,0,0,0,in,1.705E+18,1.73193E+18,224lupa,https://twitter.com/224lupa/status/1731932684413550760
Tue Dec 05 07:05:03 +0000 2023,1731932680579580000,"ujar Prabowo dalam acara Musyawarah Kerja Nasional (Mukernas) Majelis Ulama Indonesia (MUI) III 2023 yang disiarkan secara daring, Sabtu (2/12/2023). #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932680579588495
Tue Dec 05 07:05:02 +0000 2023,1731932676553330000,"Saya berdiri di depan rakyat Indonesia, saya minta mandat untuk kita ubah nasib bangsa kita,"" #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932676553338926
Tue Dec 05 07:05:01 +0000 2023,1731932672593710000,kalah dalam pemilihan presiden (pilpres). Prabowo juga menyatakan akan mengisi waktunya dengan naik gunung. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932672593719314
