,tanggal,tweet,username,tweet_url
429,Tue Dec 05 06:57:29 +0000 2023,"tetapi juga mampu menciptakan produk bernilai tambah tinggi seperti menciptakan motor, mobil, pesawat terbang, kapal, dan perangkat elektronik. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930776844042744
430,Tue Dec 05 06:57:28 +0000 2023,"Prabowo mengungkapkan harapannya agar Indonesia tidak hanya menjadi pemain utama dalam ekspor bahan mentah, #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930773228315115
431,Tue Dec 05 06:57:27 +0000 2023,"Kita sekarang tidak mau lagi ada anak Indonesia yang kekurangan gizi, stunting, tidak boleh ada lagi istilah itu di bumi Indonesia,” ujar Prabowo. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930769956974876
432,Tue Dec 05 06:57:27 +0000 2023,"“Anak-anak kita harus kuat, harus pintar. Ibu-ibu yang hamil pun akan kita memberi dukungan gizi karena mereka adalah yang mengandung anak-anak Indonesia. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930766542512316
433,Tue Dec 05 06:57:26 +0000 2023,"Selain itu, Prabowo juga berkomitmen akan meningkatkan kecerdasan anak-anak generasi bangsa sehingga bisa menjadi SDM yang unggul dan berdaya saing di level global dengan pendidikan yang memadai. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930763212566792
434,Tue Dec 05 06:57:25 +0000 2023,"Hasilnya, setelah kebijakan tersebut diterapkan, penerimaan dari sektor nikel melonjak drastis menjadi 33,8 miliar dolar AS atau mengalami kenaikan sepuluh kali lipat atau 1000 persen. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930759907143860
435,Tue Dec 05 06:57:24 +0000 2023,"Namun, pada tahun 2020, Presiden Jokowi mengeluarkan larangan ekspor nikel mentah, yang kemudian mewajibkan pengolahan di dalam negeri. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930756262551565
436,Tue Dec 05 06:57:23 +0000 2023,"Sebelumnya, pada tahun 2017, nikel diekspor sebagai bahan mentah, dan berhasil menyumbang penghasilan sekitar 3,3 miliar dolar AS atau sekitar Rp50 triliun. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930752974024965
437,Tue Dec 05 06:57:23 +0000 2023,Ketua Umum Partai Gerindra itu memberi contoh kasus nikel yang bisa menjadi cermin kebijakan strategis bagi Indonesia. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,itstuti100,https://twitter.com/itstuti100/status/1731930749581087036
438,Tue Dec 05 06:57:22 +0000 2023,"“Batu bara, nikel, kelapa sawit, semua ada. Sebenarnya ini yang disebut pohon industri kalau diolah, harganya akan naik, kita akan jadi negara industri,” jelasnya, seperti yang dikutip dari Antara (4/12). #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930746405961925
