Data,Kadar_Air ,Tak_Larut,Kalsium,Magnesium,Sulfat ,NaCl_(wb),NaCl_(db),Grade
149,7.82778865,0.136338103,0.361392965,0.182598551,0.582908392,89.49099746,97.09108217,K1
150,5.587668593,0.175489091,0.334189362,0.194943794,0.555470933,88.88102924,94.14133505,K1
151,7.904411765,0.433720684,0.218878268,0.182715772,0.370245997,88.71023713,96.32408982,K1
152,5.533596838,0.366473012,0.259567201,0.139053858,0.492927135,89.79877862,95.05895812,K1
153,11.70634921,0.082134621,0.327515708,0.416838174,0.944132562,83.97343496,95.1069915,K1
154,8.582834331,0.175571557,0.454091892,0.139550191,1.002481525,87.85136903,96.09942333,K1
155,5.959031657,0.29873607,0.290677714,0.277758704,0.756552786,91.28787102,97.07244898,K1
156,10.23622047,0.567082434,0.281873167,0.358542668,1.041620291,87.24784866,97.19716473,K1
157,7.80669145,0.391775904,0.241508782,0.210771301,0.624200671,89.74850271,97.34817431,K1
158,8.823529412,0.13169596,0.244148994,0.306296011,0.929171219,85.92037531,94.23525034,K1
159,7.899807322,0.209850586,0.402532938,0.099449314,0.70066038,90.27601115,98.01935102,K1
160,7.169117647,0.171532759,0.258494999,0.169196726,0.698470048,89.59404993,96.51319438,K1
161,6.403013183,0.440594683,0.473796048,0.540127494,1.291783245,87.63797496,93.63332938,K2
162,5.871212121,0.211921535,0.541328286,0.903782878,1.115276115,88.18198482,93.68226958,K2
163,5.675146771,0.364020174,0.51713948,0.451321728,1.838714235,85.76453258,90.92463931,K2
164,7.984790875,0.323445393,0.361451256,1.055437667,1.24,79.29942725,86.18078251,K2
165,2.676864245,0.575678771,0.387269767,0.027336689,1.120061255,94.15288615,96.74255296,K2
166,3.898635478,0.602439741,0.369131191,0.110739357,1.044799263,90.29800637,93.9612115,K2
167,5.871212121,0.432821677,0.281073413,0.55782262,1.116281679,91.03837968,96.71682992,K2
168,7.602339181,0.417828968,0.26418768,0.581212896,1.284856387,87.10300565,94.26970865,K2
169,7.007575758,0.516236702,0.349655648,0.668716428,1.241817857,86.59225361,93.11753546,K2
170,8.490566038,0.181190544,0.242135249,0.813574436,1.276764248,85.0347648,92.92458834,K2
171,5.05952381,0.145051757,0.326782392,0.098034718,1.130315654,88.85248844,93.58757403,K2
172,4.085603113,0.179520652,0.231179821,0.249674207,1.257171032,93.4799413,97.46184549,K2
173,3.409090909,0.237407328,0.298067763,0.467737106,1.879429291,91.75582513,94.99426602,K2
174,4.971319312,0.135330152,0.372756995,0.391394844,1.62093541,86.9146031,91.4614435,K2
175,4.660194175,0.155185102,0.18292709,0.165678685,1.120148681,93.85841696,98.44620109,K2
176,6.0546875,0.129986741,0.252374025,0.232805016,0.848524668,90.30263213,96.12255229,K2
177,5.162523901,0.205967869,0.170816667,0.34590375,1.017101133,90.55371869,95.48305419,K2
178,5.357142857,0.201176664,0.470730623,0.025676216,0.807038061,94.48225028,99.83030218,K2
179,5.653021442,0.671685651,0.57604143,0.401370803,0.869893256,88.95218427,94.2819639,K2
180,4.901960784,0.219264056,0.221189104,0.39261066,0.669984783,89.58930469,94.20731009,K2
181,5.283757339,0.424371688,0.583009632,0.510827487,0.875561671,87.27680966,92.1455573,K2
182,5.976095618,0.342071381,0.382274686,0.469918151,0.909281302,89.72433739,95.42715544,K2
183,7.076350093,0.570057785,0.716333857,0.328005503,0.976701801,86.36214346,92.93881971,K2
184,7.818181818,0.281275676,0.427925885,0.085585177,0.83054554,88.86961576,96.406881,K2
185,10.51625239,0.126932218,0.577921998,0.32912168,1.003993454,85.43825572,95.47907638,K2
186,12.34119782,0.042186922,0.460066826,0.498072346,1.062205815,84.58017636,96.48794447,K2
187,6.12244898,0.15735657,0.32687347,0.448283616,0.97653508,87.83733397,93.56585575,K2
188,9.904761905,0.628242777,0.315794628,0.920315772,1.269013953,83.22364656,92.37296923,K3
189,1.169590643,0.639230525,0.538205074,0.067275634,1.284424676,93.97784023,95.09000402,K3
190,1.169590643,0.639230525,0.538205074,0.067275634,1.284424676,93.97784023,95.09000402,K3
191,4.222648752,0.482097243,0.127465763,0.305917831,1.129469578,89.83357586,93.7941744,K3
192,11.71875,0.093942319,0.460970062,1.009524435,1.225391779,79.91006016,90.51759027,K3
193,11.71875,0.093942319,0.460970062,1.009524435,1.225391779,79.91006016,90.51759027,K3
194,11.17533719,0.25747847,0.504036455,0.769801131,0.934623978,83.22273996,93.69327992,K3
195,11.36738056,0.198741959,0.340358843,0.884932993,1.024720532,80.2014677,90.48752954,K3
196,7.692307692,0.654811235,0.431921638,0.777458948,1.416200516,84.29491573,91.31949204,K3
197,2.793296089,0.03275349,0.341825471,0.177749245,1.422744297,90.19573263,92.78756403,K4
198,5.122757195,0.842731992,0.509977147,0.378526786,1.430280972,88.16578333,92.94362522,K4
199,0.6479,0.03275349,0.221097169,0.160491838,0.842364694,83.0341681,90.2705629,K4
200,10.29126214,1.492820824,0.725991403,0.993452013,1.953627657,91.95498918,95.97106343,K4
201,3.409090909,0.237407328,0.298067763,0.467737106,1.879429291,91.75582513,94.99426602,K4
202,5.447470817,0.728397725,0.408564893,0.374159428,1.361027818,90.29764311,95.49997646,K4
203,5.938697318,0.261604976,0.28257947,0.720577649,1.596017525,88.66723537,94.26537039,K4
204,5.405405405,0.234048804,0.253610978,0.24899987,0.563089264,90.85049175,96.04194843,K1
205,8.79541109,1.061915766,0.430506755,0.229603603,0.568793554,86.17651331,94.48703661,K1
206,7.387387387,0.378652326,0.141329858,0.169595829,0.237666826,85.72726137,92.56542814,K1
207,8.108108108,0.248875065,0.213633573,0.15666462,0.368433358,87.96366657,95.72516656,K1
208,8.097928437,0.433103757,0.403412,0.113904565,0.715169165,88.23192044,96.00645442,K1
209,5.197132616,0.379421672,0.230089396,0.303718003,0.68388792,91.17921836,96.17770103,K1
210,5.03,0.568277252,0.206768522,0.082707409,0.238306955,91.5720738,96.42210572,K1
211,5.80270793,0.05318245,0.093070387,0.228953151,0.477848111,90.11143817,95.66245079,K1
212,8.052434457,0.039589153,0.123958801,0.143029386,0.348156609,89.86055108,97.73021238,K1
213,10.87378641,0.008797115,0.216405368,0.407235555,0.943598567,83.96958313,94.21423816,K1
214,10.89494163,0.004798177,0.118061179,0.808719076,1.098452661,82.85629744,92.98719844,K1
215,7.560693953,0.307208221,0.307949497,0.503562809,1.089581427,87.46392219,94.58926671,K1
216,1.169590643,0.004798177,0.093070387,0.025836657,0.237666826,79.76618467,89.86757924,K1
217,11.71875,1.061915766,0.76433443,1.178632128,1.883720849,93.97784023,98.19926259,K1
218,8.143939394,0.40553397,0.310108157,0.61135608,1.161533165,87.49260722,95.24968373,K1
219,8.143939394,0.40553397,0.310108157,0.61135608,1.161533165,87.49260722,95.24968373,K1
220,8.571428571,0.285410487,0.356063574,0.974724033,1.438674389,85.87769512,93.92872903,K1
221,9.356725146,0.256093977,0.224523821,0.781342898,1.250433262,86.29736366,95.20547862,K1
222,10.24667932,0.297560761,0.226661739,0.897580485,1.288915472,85.23338424,94.96404544,K1
223,6.563706564,0.406473196,0.239500169,0.56173676,1.767597313,87.40102853,93.5407702,K1
224,6.563706564,0.406473196,0.239500169,0.56173676,1.767597313,87.40102853,93.5407702,K1
225,9.433962264,0.26326723,0.381691708,0.889117156,1.274038952,84.94523579,93.79369785,K1
226,10.11450382,0.319112563,0.249093192,0.475541549,1.121532199,84.03364918,93.48966491,K1
227,3.238095238,0.483501196,0.366320635,0.329688572,1.417252195,91.95498918,95.03222307,K1
228,3.238095238,0.483501196,0.366320635,0.329688572,1.417252195,91.95498918,95.03222307,K1
229,12.34119782,0.042186922,0.460066826,0.498072346,1.062205815,84.58017636,96.48794447,K2
230,6.12244898,0.15735657,0.32687347,0.448283616,0.97653508,87.83733397,93.56585575,K2
231,6.626506024,0.167657156,0.516133975,0.450444196,1.00061986,88.91805571,95.22836934,K2
232,9.88372093,0.076749652,0.427915336,0.478487148,1.083544925,86.53104628,96.02154813,K2
